Producto,Fecha 1,Provedor,Precio,,,,
Desodorante Speed Stick H Barra,14/05/2025,Serrano ,2.100,,,,
Desodorante Speedy Stick 24/7 gel,01/04/2025,Serrano ,3.000,,,,
Desodorante West Country 75ml,04/12/2024,Vicente,424,,,,
Destaqueador,24/03/2023,Canasta,1.133,,,,
Deterg Azul Nuviola 100gr x,05/02/2024,Canasta,125,,,,
Deterg Fab 400g*,26/06/2025,serrano,675,,,,
Deterg Fort 3 125g**,28/02/2025,El Llano,160,,,,
Deterg Fort 3 400g*,1/07/2025,Canasta,516,,,,
Deterg Fort 3 800 ,7/02/2025,Llano,979,,,,
Deterg Irex 125g,06/12/2024,El Llano,242,,,,
Deterg Irex 450g,09/04/2025,El Llano,700,,,,
Deterg Orix 450g*,06/12/2024,Llano,507,,,,
Deterg Surf Set Fuerza Flores 400,14/07/2025,Insoma,447,,,,
Deterg Unox Sobre 35g,22/11/2024,Insoma,111,,,,
Deterg Xedex 400ml **,08/01/2025,Serrano ,550,,,,
Deterg Xedex Máximo Poder 500 ml ,1/07/2025,Insoma,660,,,,
Deterg Xedex Poder 800g ,14/07/2025,Insoma ,1.051,,,,
Detergente Surf 1.1,14/07/2025,Insoma,1048,,,,
Dulce de Leche Nestlé 380g **,29/06/2020,pali,1.305,,,,
Dulce Molido Don Perucho 450g,03/06/2025,Canasta,638,,,,
Dulce Tapa Doña Tanita 750g,1/07/2025,Canasta ,673,,,,
Empanizador Knorr 0g,5/04/2024,Insoma,532,,,,
Empanizador Patitos Pescado 100g,04/06/2025,Canasta ,505,,,,
Empanizador Patitos Pollo 100g,04/06/2025,Canasta,505,,,,
Empanizador Vigui Pescado**,10/05/2025,Canasta,350,,,,
